Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     87.85     0.00        2     0.00     0.00  omMergeStickyBinIntoBin
  0.00     87.85     0.00        2     0.00     0.00  omPrintBinStat
  0.00     87.85     0.00        2     0.00     0.00  p_Delete__FieldZp_LengthGeneral_OrdGeneral
  0.00     87.85     0.00        1     0.00     0.00  PrintS
  0.00     87.85     0.00        1     0.00     0.00  _GLOBAL__sub_I__Z13kBucketCreateP8ip_sring
  0.00     87.85     0.00        1     0.00     0.00  _GLOBAL__sub_I__Z14sBucketGetRingP7sBucket
  0.00     87.85     0.00        1     0.00     0.00  _GLOBAL__sub_I__Z7swapvarRK13CanonicalFormRK8VariableS4_
  0.00     87.85     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN15InternalInteger19InternalInteger_binE
  0.00     87.85     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN15RandomGeneratorC2Ev
  0.00     87.85     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN4term8term_binE
  0.00     87.85     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN5sattr5PrintEv
  0.00     87.85     0.00        1     0.00     0.00  _GLOBAL__sub_I_fe_promptstr
  0.00     87.85     0.00        1     0.00     0.00  _GLOBAL__sub_I_ff_prime
  0.00     87.85     0.00        1     0.00     0.00  _GLOBAL__sub_I_gf_q
  0.00     87.85     0.00        1     0.00     0.00  _GLOBAL__sub_I_iiOp
  0.00     87.85     0.00        1     0.00     0.00  _GLOBAL__sub_I_s_si_link_extension_bin
  0.00     87.85     0.00        1     0.00     0.00  _GLOBAL__sub_I_sip_command_bin
  0.00     87.85     0.00        1     0.00     0.00  _GLOBAL__sub_I_sip_sideal_bin
  0.00     87.85     0.00        1     0.00     0.00  _GLOBAL__sub_I_sip_sring_bin
  0.00     87.85     0.00        1     0.00     0.00  _GLOBAL__sub_I_slists_bin
  0.00     87.85     0.00        1     0.00     0.00  _GLOBAL__sub_I_smprec_bin
  0.00     87.85     0.00        1     0.00     0.00  exitBuffer(feBufferTypes)
  0.00     87.85     0.00        1     0.00    87.70  iiAllStart(procinfo*, char*, feBufferTypes, int)
  0.00     87.85     0.00        1     0.00     0.00  iiConvName(char const*)
  0.00     87.85     0.00        1     0.00     0.00  iiIsPrime0(unsigned int)
  0.00     87.85     0.00        1     0.00     0.00  iiProcArgs(char*, int)
  0.00     87.85     0.00        1     0.00     0.00  initRTimer()
  0.00     87.85     0.00        1     0.00     0.00  killlocals(int)
  0.00     87.85     0.00        1     0.00     0.00  nlInitChar(n_Procs_s*, void*)
  0.00     87.85     0.00        1     0.00     0.00  npInitChar(n_Procs_s*, void*)
  0.00     87.85     0.00        1     0.00     0.00  rOrderName(char*)
  0.00     87.85     0.00        1     0.00     0.00  factoryseed(int)
  0.00     87.85     0.00        1     0.00     0.00  feInitStdin(Voice*)
  0.00     87.85     0.00        1     0.00     0.00  id_HomIdeal(sip_sideal*, sip_sideal*, ip_sring*)
  0.00     87.85     0.00        1     0.00    87.70  iiMake_proc(idrec*, sip_package*, sleftv*)
  0.00     87.85     0.00        1     0.00     0.00  packFindHdl(sip_package*)
  0.00     87.85     0.00        1     0.00     0.01  rModifyRing(ip_sring*, int, int, unsigned long)
  0.00     87.85     0.00        1     0.00     0.00  rUnComplete(ip_sring*)
  0.00     87.85     0.00        1     0.00     0.00  reinit_yylp()
  0.00     87.85     0.00        1     0.00     0.00  yylprestart(_IO_FILE*)
  0.00     87.85     0.00        1     0.00     0.06  exitBuchMora(skStrategy*)
  0.00     87.85     0.00        1     0.00     0.00  idSkipZeroes(sip_sideal*)
  0.00     87.85     0.00        1     0.00     0.00  id_Normalize(sip_sideal*, ip_sring*)
  0.00     87.85     0.00        1     0.00     0.00  iiExprArith1(sleftv*, sleftv*, int)
  0.00     87.85     0.00        1     0.00     0.00  initBuchMora(sip_sideal*, sip_sideal*, skStrategy*)
  0.00     87.85     0.00        1     0.00     0.00  initHilbCrit(sip_sideal*, sip_sideal*, intvec**, skStrategy*)
  0.00     87.85     0.00        1     0.00     0.00  make_version(char*, int)
  0.00     87.85     0.00        1     0.00     0.00  myynewbuffer()
  0.00     87.85     0.00        1     0.00     0.00  p_SetGlobals(ip_sring*, int)
  0.00     87.85     0.00        1     0.00     0.00  feGetOptIndex(char const*)
  0.00     87.85     0.00        1     0.00     0.00  iiInitCmdName()
  0.00     87.85     0.00        1     0.00     0.00  killlocals_rec(idrec**, int, ip_sring*)
  0.00     87.85     0.00        1     0.00     0.00  nlCoeffIsEqual(n_Procs_s*, n_coeffType, void*)
  0.00     87.85     0.00        1     0.00     0.00  slStandardInit()
  0.00     87.85     0.00        1     0.00     0.00  exprlist_length(sleftv*)
  0.00     87.85     0.00        1     0.00     0.00  feInitResources(char const*)
  0.00     87.85     0.00        1     0.00    87.69  iiExprArith1Tab(sleftv*, sleftv*, int, sValCmd1*, int, sConvertTypes*)
  0.00     87.85     0.00        1     0.00     0.00  initBuchMoraPos(skStrategy*)
  0.00     87.85     0.00        1     0.00     0.00  rAssure_HasComp(ip_sring*)
  0.00     87.85     0.00        1     0.00     0.00  rChangeCurrRing(ip_sring*)
  0.00     87.85     0.00        1     0.00     0.00  iiInitArithmetic()
  0.00     87.85     0.00        1     0.00     0.00  initBuchMoraCrit(skStrategy*)
  0.00     87.85     0.00        1     0.00     0.00  pRestoreDegProcs(ip_sring*, long (*)(spolyrec*, ip_sring*), long (*)(spolyrec*, int*, ip_sring*))
  0.00     87.85     0.00        1     0.00     0.00  id_RankFreeModule(sip_sideal*, ip_sring*, ip_sring*)
  0.00     87.85     0.00        1     0.00     0.00  rHasSimpleOrderAA(ip_sring*)
  0.00     87.85     0.00        1     0.00     0.00  rKillModifiedRing(ip_sring*)
  0.00     87.85     0.00        1     0.00     0.00  iiGetLibProcBuffer(procinfo*, int)
  0.00     87.85     0.00        1     0.00     0.00  yylp_create_buffer(_IO_FILE*, int)
  0.00     87.85     0.00        1     0.00     0.00  cf_getNumSmallPrimes()
  0.00     87.85     0.00        1     0.00     0.01  kStratChangeTailRing(skStrategy*, sLObject*, sTObject*, unsigned long)
  0.00     87.85     0.00        1     0.00     0.00  kPosInLDependsOnLength(int (*)(sLObject*, int, sLObject*, skStrategy*))
  0.00     87.85     0.00        1     0.00     0.00  rSleftvList2StringArray(sleftv*, char**)
  0.00     87.85     0.00        1     0.00     0.00  kStratInitChangeTailRing(skStrategy*)
  0.00     87.85     0.00        1     0.00     0.00  rSleftvOrdering2Ordering(sleftv*, ip_sring*)
  0.00     87.85     0.00        1     0.00     0.00  Off(int)
  0.00     87.85     0.00        1     0.00    87.69  kStd(sip_sideal*, sip_sideal*, tHomog, intvec**, intvec*, int, int, intvec*, int)
  0.00     87.85     0.00        1     0.00     0.00  atGet(sleftv*, char const*, int)
  0.00     87.85     0.00        1     0.00     0.00  p_Sub(spolyrec*, spolyrec*, ip_sring*)
  0.00     87.85     0.00        1     0.00     0.01  rInit(sleftv*, sleftv*, sleftv*)
  0.00     87.85     0.00        1     0.00     0.06  cleanT(skStrategy*)
  0.00     87.85     0.00        1     0.00     0.00  initSL(sip_sideal*, sip_sideal*, skStrategy*)
  0.00     87.85     0.00        1     0.00     0.00  IsPrime(int)
  0.00     87.85     0.00        1     0.00     0.00  initBba(sip_sideal*, skStrategy*)
  0.00     87.85     0.00        1     0.00     0.00  rSetHdl(idrec*)
  0.00     87.85     0.00        1     0.00     0.00  updateS(int, skStrategy*)
  0.00     87.85     0.00        1     0.00     0.00  yylplex(char const*, char const*, lib_style_types*, idrec*, int, lp_modes)
  0.00     87.85     0.00        1     0.00    87.70  yyparse()
  0.00     87.85     0.00        1     0.00    87.70  iiLibCmd(char*, int, int, int)
  0.00     87.85     0.00        1     0.00    87.70  iiPStart(idrec*, sleftv*)
  0.00     87.85     0.00        1     0.00     0.00  jjSYSTEM(sleftv*, sleftv*)
  0.00     87.85     0.00        1     0.00     0.00  ndIsUnit(snumber*, n_Procs_s*)
  0.00     87.85     0.00        1     0.00     0.00  rCheckIV(intvec*)
  0.00     87.85     0.00        1     0.00    87.70  iiLoadLIB(_IO_FILE*, char const*, char const*, idrec*, int, int)
  0.00     87.85     0.00        1     0.00     0.00  initTimer()
  0.00     87.85     0.00        1     0.00     0.00  ndSetChar(n_Procs_s*)
  0.00     87.85     0.00        1     0.00     0.00  newBuffer(char*, feBufferTypes, procinfo*, int)
  0.00     87.85     0.00        1     0.00     0.01  rComplete(ip_sring*, int)
